series_id,country,theme,series_family,comparison_group,comparability_flag,analysis_mode,start_period,end_period,observations,frequency,flow,metric,coverage,unit_raw,unit_standardized,index_base_period,notes
dk_cereals_output_value,DK,production,cereals_output_value,dk_cereals_output_value_fallback,fallback_only,fallback,2022,2024,3,annual,,Cereals output,national,m DKK,,2022,Value-based Danish cereals output is useful context but not directly comparable with the oats volume subgroup.
dk_total_goods_exports,DK,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2022-01,2026-01,49,monthly,exports,Trade value,all goods,"DKK 1,000",,2022-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
dk_total_goods_imports,DK,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2022-01,2026-01,49,monthly,imports,Trade value,all goods,"DKK 1,000",,2022-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
fi_agri_food_exports,FI,trade,agri_food_trade_monthly,fi_agri_food_trade_fallback,fallback_only,fallback,2015-01,2024-12,120,monthly,exports,Trade value,agri-food total,1000 EUR,,2015-01,"Coverage is Finland agri-food only, not total-goods trade, so it should not be pooled with the Nordic trade comparison."
fi_agri_food_imports,FI,trade,agri_food_trade_monthly,fi_agri_food_trade_fallback,fallback_only,fallback,2015-01,2024-12,120,monthly,imports,Trade value,agri-food total,1000 EUR,,2015-01,"Coverage is Finland agri-food only, not total-goods trade, so it should not be pooled with the Nordic trade comparison."
fi_oats_production,FI,production,oats_production_quantity,nordic_oats_production_volume,level_comparable,level,2010,2024,15,annual,,Oats production,national,"1,000 tonnes","1,000 tonnes",2010,"FI, NO and SE are aligned to oats production in 1,000 tonnes."
hicp_food_dk,DK,prices,food_hicp_monthly,nordic_food_price_index,level_comparable,level,2015-01,2025-12,132,monthly,,HICP food and non-alcoholic beverages,food and non-alcoholic beverages,index (2015=100),index (2015=100),2015-01,Shared Eurostat HICP food index with common methodology and common 2015=100 base.
hicp_food_fi,FI,prices,food_hicp_monthly,nordic_food_price_index,level_comparable,level,2015-01,2025-12,132,monthly,,HICP food and non-alcoholic beverages,food and non-alcoholic beverages,index (2015=100),index (2015=100),2015-01,Shared Eurostat HICP food index with common methodology and common 2015=100 base.
hicp_food_is,IS,prices,food_hicp_monthly,nordic_food_price_index,level_comparable,level,2015-01,2025-12,132,monthly,,HICP food and non-alcoholic beverages,food and non-alcoholic beverages,index (2015=100),index (2015=100),2015-01,Shared Eurostat HICP food index with common methodology and common 2015=100 base.
hicp_food_no,NO,prices,food_hicp_monthly,nordic_food_price_index,level_comparable,level,2015-01,2025-12,132,monthly,,HICP food and non-alcoholic beverages,food and non-alcoholic beverages,index (2015=100),index (2015=100),2015-01,Shared Eurostat HICP food index with common methodology and common 2015=100 base.
hicp_food_se,SE,prices,food_hicp_monthly,nordic_food_price_index,level_comparable,level,2015-01,2025-12,132,monthly,,HICP food and non-alcoholic beverages,food and non-alcoholic beverages,index (2015=100),index (2015=100),2015-01,Shared Eurostat HICP food index with common methodology and common 2015=100 base.
is_beef_production,IS,production,beef_production_quantity,is_beef_production_fallback,fallback_only,fallback,2010,2025,16,annual,,Beef production,national,tonnes,"1,000 tonnes",2010,"Iceland fallback is beef output, not oats, so it should be analyzed separately."
is_total_goods_exports,IS,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2026-01,133,monthly,exports,Trade value,all goods,source units,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
is_total_goods_imports,IS,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2026-01,133,monthly,imports,Trade value,all goods,source units,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
no_oats_production,NO,production,oats_production_quantity,nordic_oats_production_volume,level_comparable,level,2010,2025,16,annual,,Oats production,national,"1,000 tonnes","1,000 tonnes",2010,"FI, NO and SE are aligned to oats production in 1,000 tonnes."
no_total_goods_exports,NO,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2026-01,133,monthly,exports,Trade value,all goods,source units,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
no_total_goods_imports,NO,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2026-01,133,monthly,imports,Trade value,all goods,source units,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
se_oats_production,SE,production,oats_production_quantity,nordic_oats_production_volume,level_comparable,level,2010,2024,15,annual,,Oats production,national,"1,000 tonnes","1,000 tonnes",2010,"FI, NO and SE are aligned to oats production in 1,000 tonnes."
se_total_goods_exports,SE,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2025-12,132,monthly,exports,Trade value,all goods,SEK thousand,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
se_total_goods_imports,SE,trade,total_goods_trade_monthly,nordic_total_goods_trade_change,index_only,index,2015-01,2025-12,132,monthly,imports,Trade value,all goods,SEK thousand,,2015-01,"Native currencies and source construction differ, so use rebased movement rather than raw levels."
