slug,source_name,status,adapter,http_status,content_type,row_count,dimensions,updated,raw_file,normalized_file,note,error
nordic-eurostat-hicp-food-monthly,Eurostat HICP monthly food,ok,eurostat,200,application/json,660,"freq,unit,coicop,geo,time",2026-02-06T23:00:00+0100,research/data/nordic/prices/raw-json/nordic-eurostat-hicp-food-monthly.json,research/data/nordic/prices/normalized/nordic-eurostat-hicp-food-monthly.csv,"Harmonised food inflation comparison across DK, FI, IS, NO, SE.",
nordic-eurostat-food-price-levels-annual,Eurostat price level indices food,ok,eurostat,200,application/json,50,"freq,na_item,ppp_cat,geo,time",2025-07-10T11:00:00+0200,research/data/nordic/prices/raw-json/nordic-eurostat-food-price-levels-annual.json,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Annual price level index for food with EU27_2020 benchmark.,
no-ssb-cpi-food-14700,SSB CPI food and non-alcoholic beverages,ok,pxweb,200,application/json; charset=utf-8,134,"VareTjenesteGrp,ContentsCode,Tid",2026-03-10T07:00:00Z,research/data/nordic/prices/raw-json/no-ssb-cpi-food-14700.json,research/data/nordic/prices/normalized/no-ssb-cpi-food-14700.csv,,
no-ssb-cpi-food-03013-archive,SSB archived CPI food bridge,ok,pxweb,200,application/json; charset=utf-8,132,"Konsumgrp,ContentsCode,Tid",2026-01-09T07:00:00Z,research/data/nordic/prices/raw-json/no-ssb-cpi-food-03013-archive.json,research/data/nordic/prices/normalized/no-ssb-cpi-food-03013-archive.csv,,
no-ssb-ppi-food-domestic-12462,SSB producer price index food domestic market,ok,pxweb,200,application/json; charset=utf-8,134,"Marked,NaringUtenriks,ContentsCode,Tid",2026-03-09T07:00:00Z,research/data/nordic/prices/raw-json/no-ssb-ppi-food-domestic-12462.json,research/data/nordic/prices/normalized/no-ssb-ppi-food-domestic-12462.csv,,
dk-statbank-cpi-food-pris01,StatBank Denmark CPI food and non-alcoholic beverages,ok,statbank,200,text/json; charset=utf-8,134,"VAREGR,ENHED,ContentsCode,Tid",2026-03-10T07:00:00Z,research/data/nordic/prices/raw-json/dk-statbank-cpi-food-pris01.json,research/data/nordic/prices/normalized/dk-statbank-cpi-food-pris01.csv,,
dk-statbank-hicp-food-pris07,StatBank Denmark HICP food and non-alcoholic beverages,ok,statbank,200,text/json; charset=utf-8,134,"VAREGR,ENHED,ContentsCode,Tid",2026-03-10T07:00:00Z,research/data/nordic/prices/raw-json/dk-statbank-hicp-food-pris07.json,research/data/nordic/prices/normalized/dk-statbank-hicp-food-pris07.csv,,
dk-statbank-food-price-levels-ppp1,StatBank Denmark price level indices food,ok,statbank,200,text/json; charset=utf-8,20,"VAREGR,LAND,ContentsCode,Tid",2025-07-01T06:00:00Z,research/data/nordic/prices/raw-json/dk-statbank-food-price-levels-ppp1.json,research/data/nordic/prices/normalized/dk-statbank-food-price-levels-ppp1.csv,,
se-scb-cpi-food-kpi2020coicopm,SCB CPI food and non-alcoholic beverages,ok,pxweb,200,application/json; charset=utf-8,133,"VaruTjanstegrupp,ContentsCode,Tid",2026-02-11T09:36:00Z,research/data/nordic/prices/raw-json/se-scb-cpi-food-kpi2020coicopm.json,research/data/nordic/prices/normalized/se-scb-cpi-food-kpi2020coicopm.csv,,
se-scb-ppi-food-ppi2020m,SCB producer price index food products,ok,pxweb,200,application/json; charset=utf-8,133,"SPIN2015,ContentsCode,Tid",2026-02-23T09:13:00Z,research/data/nordic/prices/raw-json/se-scb-ppi-food-ppi2020m.json,research/data/nordic/prices/normalized/se-scb-ppi-food-ppi2020m.csv,,
fi-statfin-cpi-food-15b5,StatFin CPI food and non-alcoholic beverages,ok,pxweb,200,application/json; charset=utf-8,133,"Kuukausi,Hyödyke,Tiedot",2026-02-19T06:00:00Z,research/data/nordic/prices/raw-json/fi-statfin-cpi-food-15b5.json,research/data/nordic/prices/normalized/fi-statfin-cpi-food-15b5.csv,,
fi-statfin-hicp-food-15b7,StatFin HICP food and non-alcoholic beverages,ok,pxweb,200,application/json; charset=utf-8,133,"Kuukausi,Hyödyke,Tiedot",2026-02-19T06:00:00Z,research/data/nordic/prices/raw-json/fi-statfin-hicp-food-15b7.json,research/data/nordic/prices/normalized/fi-statfin-hicp-food-15b7.csv,,
fi-statfin-ppi-food-118g,StatFin producer price index food products,ok,pxweb,200,application/json; charset=utf-8,133,"Tuotteet toimialoittain (CPA 2015, MIG),Kuukausi,Indeksisarja,Tiedot",2026-02-26T06:00:00Z,research/data/nordic/prices/raw-json/fi-statfin-ppi-food-118g.json,research/data/nordic/prices/normalized/fi-statfin-ppi-food-118g.csv,,
