Date,MonthCode,Value
2015-01,2015M01,83.6
2015-02,2015M02,84.8
2015-03,2015M03,85.0
2015-04,2015M04,85.0
2015-05,2015M05,85.6
2015-06,2015M06,85.1
2015-07,2015M07,86.0
2015-08,2015M08,86.4
2015-09,2015M09,86.2
2015-10,2015M10,86.4
2015-11,2015M11,86.8
2015-12,2015M12,87.2
2016-01,2016M01,87.9
2016-02,2016M02,88.2
2016-03,2016M03,89.0
2016-04,2016M04,89.1
2016-05,2016M05,89.6
2016-06,2016M06,89.9
2016-07,2016M07,90.7
2016-08,2016M08,90.4
2016-09,2016M09,89.5
2016-10,2016M10,89.7
2016-11,2016M11,89.7
2016-12,2016M12,90.0
2017-01,2017M01,89.3
2017-02,2017M02,90.0
2017-03,2017M03,90.0
2017-04,2017M04,90.0
2017-05,2017M05,90.2
2017-06,2017M06,90.0
2017-07,2017M07,90.6
2017-08,2017M08,90.5
2017-09,2017M09,90.1
2017-10,2017M10,89.9
2017-11,2017M11,90.1
2017-12,2017M12,89.9
2018-01,2018M01,91.3
2018-02,2018M02,91.5
2018-03,2018M03,92.1
2018-04,2018M04,92.2
2018-05,2018M05,92.1
2018-06,2018M06,91.9
2018-07,2018M07,91.4
2018-08,2018M08,91.5
2018-09,2018M09,91.5
2018-10,2018M10,91.6
2018-11,2018M11,91.5
2018-12,2018M12,91.3
2019-01,2019M01,92.3
2019-02,2019M02,92.9
2019-03,2019M03,92.8
2019-04,2019M04,93.2
2019-05,2019M05,93.4
2019-06,2019M06,93.3
2019-07,2019M07,94.0
2019-08,2019M08,94.7
2019-09,2019M09,95.0
2019-10,2019M10,95.2
2019-11,2019M11,95.9
2019-12,2019M12,95.7
2020-01,2020M01,95.1
2020-02,2020M02,96.2
2020-03,2020M03,96.3
2020-04,2020M04,97.5
2020-05,2020M05,97.5
2020-06,2020M06,97.6
2020-07,2020M07,98.3
2020-08,2020M08,97.8
2020-09,2020M09,97.2
2020-10,2020M10,97.0
2020-11,2020M11,97.1
2020-12,2020M12,96.9
2021-01,2021M01,96.8
2021-02,2021M02,97.4
2021-03,2021M03,97.8
2021-04,2021M04,98.7
2021-05,2021M05,98.5
2021-06,2021M06,98.6
2021-07,2021M07,100.4
2021-08,2021M08,101.0
2021-09,2021M09,101.0
2021-10,2021M10,102.3
2021-11,2021M11,103.4
2021-12,2021M12,104.1
2022-01,2022M01,104.7
2022-02,2022M02,106.1
2022-03,2022M03,107.8
2022-04,2022M04,108.6
2022-05,2022M05,111.9
2022-06,2022M06,113.1
2022-07,2022M07,119.5
2022-08,2022M08,119.4
2022-09,2022M09,120.2
2022-10,2022M10,121.5
2022-11,2022M11,124.3
2022-12,2022M12,124.5
2023-01,2023M01,125.6
2023-02,2023M02,126.6
2023-03,2023M03,128.6
2023-04,2023M04,128.7
2023-05,2023M05,128.9
2023-06,2023M06,128.9
2023-07,2023M07,130.3
2023-08,2023M08,129.4
2023-09,2023M09,128.2
2023-10,2023M10,129.4
2023-11,2023M11,131.1
2023-12,2023M12,131.4
2024-01,2024M01,131.0
2024-02,2024M02,132.7
2024-03,2024M03,132.7
2024-04,2024M04,132.6
2024-05,2024M05,132.3
2024-06,2024M06,131.6
2024-07,2024M07,132.5
2024-08,2024M08,132.6
2024-09,2024M09,133.0
2024-10,2024M10,133.8
2024-11,2024M11,133.7
2024-12,2024M12,133.4
2025-01,2025M01,132.3
2025-02,2025M02,133.7
2025-03,2025M03,134.7
2025-04,2025M04,134.9
2025-05,2025M05,134.5
2025-06,2025M06,134.2
2025-07,2025M07,135.6
2025-08,2025M08,135.7
2025-09,2025M09,134.8
2025-10,2025M10,135.4
2025-11,2025M11,135.7
2025-12,2025M12,136.1
2026-01,2026M01,137.1
2026-02,2026M02,141.4
